provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2024;9;30;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;6;28102001_6_48;2024;9;30;0,4;T;0,5;T;0,4;T;0,5;T;0,4;T;0,4;T;0,4;T;0,4;T;0,4;T;0,5;T;0,5;T;0,4;T;0,4;T;0,4;T;0,4;T;0,4;T;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;7;28102001_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;8;28102001_8_8;2024;9;30;2;T;2;T;2;T;2;T;2;T;2;T;2;T;4;T;3;T;3;T;2;T;1;T;1;T;1;T;1;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;10;28102001_10_49;2024;9;30;7;T;7;T;6;T;7;T;7;T;7;T;9;T;12;T;11;T;10;T;9;T;10;T;7;T;6;T;5;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;12;28102001_12_8;2024;9;30;4;T;4;T;4;T;4;T;4;T;4;T;4;T;6;T;5;T;6;T;4;T;3;T;3;T;3;T;3;T;4;T;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;14;28102001_14_6;2024;9;30;88;T;84;T;90;T;85;T;80;T;80;T;78;T;66;T;63;T;78;T;105;T;111;T;111;T;117;T;121;T;125;T;;N;;N;;N;;N;;N;;N;;N;;N
28;106;1;7;28106001_7_8;2024;9;30;2;T;45;T;33;T;29;T;50;T;45;T;72;T;43;T;32;T;16;T;8;T;;N;;N;2;T;1;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;106;1;8;28106001_8_8;2024;9;30;68;T;95;T;88;T;82;T;84;T;77;T;79;T;66;T;61;T;46;T;32;T;;N;;N;11;T;10;T;16;T;;N;;N;;N;;N;;N;;N;;N;;N
28;106;1;9;28106001_9_49;2024;9;30;10;T;10;T;12;T;13;T;14;T;15;T;17;T;18;T;17;T;14;T;12;T;;N;;N;9;T;8;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N
