Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
13 Sins,2014.0,6.3,Adventure,9130.0,4000000.0,45.0,1.0,0.0,3280543.0,4632.0,425.0,636.0,1120000.0
22 Jump Street,2014.0,7.1,Comedy,192000000.0,50000000.0,3306.0,2.0,2.0,583289.0,3465.0,61.0,186.0,12350000.0
3 Days to Kill,2014.0,6.2,Comedy,30700000.0,28000000.0,2872.0,1.0,0.0,304861.0,328.0,34.0,47.0,483000.0
300: Rise of an Empire,2014.0,6.3,Comedy,106000000.0,110000000.0,3470.0,2.0,0.0,452917.0,2429.0,132.0,590.0,568000.0
A Haunted House 2,2014.0,4.7,Adventure,17300000.0,3500000.0,2310.0,2.0,0.0,3145573.0,12163.0,610.0,1082.0,1923800.0
A Long Way Off,2014.0,4.6,Romance,29000.0,500000.0,2777.0,1.0,0.0,91137.0,112.0,7.0,1.0,310000.0
A Million Ways to Die in the West,2014.0,6.1,Adventure,42600000.0,40000000.0,3158.0,1.0,0.0,3013011.0,9595.0,419.0,1020.0,8153000.0
A Most Violent Year,2014.0,7.1,Comedy,5750000.0,20000000.0,818.0,1.0,2.0,1854103.0,2207.0,197.0,593.0,130655.0
A Walk Among the Tombstones,2014.0,6.5,Documentary,26000000.0,28000000.0,2714.0,1.0,3.0,2213659.0,2210.0,419.0,382.0,125646.0
About Last Night,2014.0,6.1,Adventure,48600000.0,12500000.0,2253.0,1.0,0.0,5218079.0,11709.0,532.0,770.0,21697300.0
American Sniper,2014.0,7.3,Comedy,350000000.0,58800000.0,3555.0,1.0,4.0,3927600.0,13143.0,573.0,3134.0,24300.0
And So It Goes,2014.0,5.7,Adventure,15200000.0,30000000.0,1762.0,1.0,0.0,519327.0,963.0,94.0,70.0,386400.0
Annie,2014.0,5.2,Adventure,85900000.0,65000000.0,3116.0,1.0,0.0,930006.0,5150.0,707.0,1484.0,5130800.0
Atlas Shrugged: Who Is John Galt?,2014.0,4.4,Romance,830000.0,5000000.0,65.0,3.0,0.0,595194.0,85.0,36.0,39.0,15112.0
Barefoot,2014.0,6.6,Adventure,11800.0,6000000.0,18.0,1.0,2.0,3915978.0,6983.0,247.0,460.0,253000.0
Better Living Through Chemistry,2014.0,6.3,Adventure,72300.0,5000000.0,25.0,1.0,0.0,1391527.0,2479.0,146.0,182.0,1658900.0
Beyond the Lights,2014.0,6.9,Romance,14600000.0,7000000.0,31.0,1.0,0.0,1828235.0,7633.0,235.0,685.0,116100.0
Big Hero 6,2014.0,7.9,Mystery,222000000.0,165000000.0,3761.0,1.0,29.0,4700023.0,14163.0,538.0,1293.0,199800.0
Black or White,2014.0,6.6,Romance,21600000.0,9000000.0,1823.0,1.0,-1.0,1348142.0,4404.0,307.0,1033.0,888000.0
